Code,Object,Showcase,Caption,Current_Status,Link,Existing_Object,Notes,Acquisition_Institution_Responsible,Acquisition_People_Responsible,Acquisition_Technique,Acquisition_Equipment,Acquisition_License,Processing_Institution_Responsible,Processing_People_Responsible,Processing_Equipment,Processing_Timing_Start_Date_(MM-DD),Processing_Timing_End_Date_(MM-DD),Processing_License,Modeling_Institution_Responsible,Modeling_People_Responsible,Modeling_Equipment,Modeling_Timing_Start_Date_(MM-DD),Modeling_Timing_End_Date_(MM-DD),Modeling_License,Optimization_Institution_Responsible,Optimization_People_Responsible,Optimization_Equipment,Optimization_Timing_Start_Date_(MM-DD),Optimization_Timing_End_Date_(MM-DD),Optimization_License,Export_Institution_Responsible,Export_People_Responsible,Export_Equipment,Export_Timing_Start_Date_(MM-DD),Export_Timing_End_Date_(MM-DD),Export_License,Metadata_Institution_Responsible,Metadata_People_Responsible,Metadata_Equipment,Metadata_Timing_Start_Date_(MM-DD),Metadata_Timing_End_Date_(MM-DD),Metadata_License,Upload_to_ATON_Institution_Responsible,Upload_to_ATON_People_Responsible,Upload_to_ATON_Equipment,Upload_to_ATON_Timing_Start_Date_(MM-DD),Upload_to_ATON_Timing_End_Date_(MM-DD),Upload_License,Acquisition_Timing_End_Date_(MM-DD),Acquisition_Timing_Start_Date_(MM-DD),Room
10169_513,vase with narrow neck,,Globular celadon bottle with foot; speckled pattern with white stripes below the neck,5 - Exported,,,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste; François Giligny,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,Artec Studio,2024_06_10,2024_07_01,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste; Arianna Moretti,Blender,2024_08_10,2024_10_05,,University of Bologna,Arianna Moretti,Blender,2024_11_10,2024_12_05,,University of Bologna,Arianna Moretti,Blender / glTF exporter,2024_12_10,2024_12_15,,,,,,,,,,,,,,2024_05_20,2024_05_05,
8283,jug,,"Basic ovaoid jug with cylindrical neck, glazed on a blue background with purple ornamentation and rosettes. On the front is a portrait of King Louis XIV surrounded by the following inscription: Ludovicus XIIII Franciae et N(avarra) Rex Chr(istianissimus) 1679. The manufacturer's monogram, composed of the letters PR, is at the base of the cartouche surrounding the royal bust.",1 - Acquired,,,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste; François Giligny,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024_05_20,2024_05_05,
7148,beer mug,,"Porcelain stoneware. Spherical jug with cylindrical neck and hinged wrought-iron lid. Yellowish-gray paste; decoration engraved at the tip, forming a blue-enameled checkerboard band between two friezes of foliage standing out against a blue enamel background; on the front, an embossed crest reproducing below a royal crown the letters GR enameled in blue and surrounded by ornaments in relief, monogram of George I, King of England. The collar is covered with brown enamel and decorated with vertical parallel striations. ",2 - Processed,,,,Université Paris 1 Panthéon-Sorbonne,François Giligny and Madeleine Daste,Scansione A Proiezione Di Luce Strutturata,Artec Spider,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,Artec Studio,2024_09_20,2024_10_10,,Université Paris 1 Panthéon-Sorbonne,Madeleine Daste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200_4,vase-bottle,,"large spheroid bottle; greenish celadon enamel. A salamander with bifurcated tail in high relief embraces the neck, with reddish and greenish spots (gilded bronze circles, Louis XIV period). ",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vase,,Slightly ovoid vase with wide neck and flared lip; blue and white plant motif ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,vase,,small Chinese porcelain vase with blue background and gold decoration ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,cup for mulled wine,,"Chinese porcelain; small four-lobed mulled wine cup, blue underglaze decoration: figures, in reverse inscriptions stating that it was made in the room (house) of the source of happiness.",0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362_4,small vial,,Porcelain miniature vase decorated with blue and white characters.,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,cup,,Chinese porcelain; small mulled wine cup ; floral and latticework decoration in red monochrome. ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345 (1),saucer,,Chinese porcelain; small mulled wine cup ; floral and latticework decoration in red monochrome. ,0 - Not acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
